site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Atarchuha;1;1;2800;w;1;0;5500;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Atarchuha;1;2;500;w;1;0;5500;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Atarchuha;1;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Atarchuha;1;4;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Atarchuha;1;5;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Atarchuha;2;1;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atarchuha;2;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atarchuha;2;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atarchuha;2;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atarchuha;2;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atarchuha;3;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Atarchuha;3;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atarchuha;3;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Atarchuha;3;4;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Atarchuha;3;5;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Atarchuha;4;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atarchuha;4;2;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Atarchuha;4;3;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Atarchuha;4;4;400;w;1;0;5500;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Atarchuha;4;5;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Atarchuha;5;1;400;w;1;0;5500;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Atarchuha;5;2;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Atarchuha;5;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Atarchuha;5;4;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
