site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Atariya;1;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Atariya;1;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Atariya;1;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Atariya;1;4;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Atariya;1;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Atariya;2;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Atariya;2;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Atariya;2;3;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Atariya;2;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Atariya;2;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;3;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Atariya;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;3;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;3;4;1000;w;1;0;5500;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Atariya;3;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Atariya;4;1;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atariya;4;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Atariya;4;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;4;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;4;5;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Atariya;5;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Atariya;5;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;5;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;5;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Atariya;5;5;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Atariya;6;1;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Atariya;6;2;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Atariya;6;3;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Atariya;6;4;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Atariya;6;5;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Atariya;7;1;700;w;1;0;5500;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Atariya;7;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Atariya;7;3;700;w;1;0;5500;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Atariya;7;4;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Atariya;7;5;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;8;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Atariya;8;2;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Atariya;8;3;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Atariya;8;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Atariya;8;5;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Atariya;9;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Atariya;9;2;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Atariya;9;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Atariya;9;4;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Atariya;9;5;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Atariya;10;1;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Atariya;10;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Atariya;10;3;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Atariya;10;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Atariya;10;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Atariya;11;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;11;2;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;11;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Atariya;11;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Atariya;11;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;12;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Atariya;12;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;12;3;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Atariya;12;4;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Atariya;12;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Atariya;13;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Atariya;13;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Atariya;13;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Atariya;13;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;13;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Atariya;14;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Atariya;14;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Atariya;14;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Atariya;14;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Atariya;14;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Atariya;1;6;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;1;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;1;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;1;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;1;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;2;6;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Atariya;2;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;2;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;2;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;2;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;3;6;500;g;0;1;3000;13000;2500;15500;com;NA;NA;NA;NA;NA;NA
Atariya;3;7;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Atariya;3;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;3;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;3;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;4;6;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Atariya;4;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;4;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;4;9;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Atariya;4;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;5;6;2800;g;0;1;3000;0;200;200;com;NA;NA;NA;NA;NA;NA
Atariya;5;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Atariya;5;8;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Atariya;5;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Atariya;5;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Atariya;6;6;1500;g;0;1;3000;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Atariya;6;7;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Atariya;6;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;6;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;6;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;7;6;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Atariya;7;7;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Atariya;7;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Atariya;7;9;2700;g;0;1;3000;0;300;300;com;NA;NA;NA;NA;NA;NA
Atariya;7;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Atariya;8;6;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Atariya;8;7;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;8;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Atariya;8;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;8;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;9;6;400;g;0;1;3000;13000;2600;15600;com;NA;NA;NA;NA;NA;NA
Atariya;9;7;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;9;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Atariya;9;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;9;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;10;6;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;10;7;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;10;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Atariya;10;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;10;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;11;6;2000;w;1;0;5500;15000;1000;16000;com;NA;NA;NA;NA;NA;NA
Atariya;11;7;3000;w;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
Atariya;11;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Atariya;11;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;11;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;12;6;3000;w;1;0;5500;0;0;0;com;NA;NA;NA;NA;NA;NA
Atariya;12;7;3000;w;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
Atariya;12;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Atariya;12;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;12;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;13;6;1500;g;0;1;3000;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Atariya;13;7;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;13;8;2000;w;1;0;5500;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Atariya;13;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;13;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;14;6;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Atariya;14;7;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Atariya;14;8;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Atariya;14;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Atariya;14;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Atariya;1;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Atariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Atariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Atariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Atariya;1;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Atariya;2;0;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
Atariya;2;;0;0;0;0;0;0;3000;3000;dev_project;NA;0;NA;NA;NA;NA
