site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Banijagoan;1;1;900;w;1;0;5500;13000;2100;15100;basic;NA;NA;NA;NA;NA;NA
Banijagoan;1;2;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;1;3;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;1;4;1100;w;1;0;5500;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;1;5;2500;w;1;0;5500;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;2;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;2;2;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Banijagoan;2;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;2;4;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Banijagoan;2;5;800;w;1;0;5500;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Banijagoan;3;1;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Banijagoan;3;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Banijagoan;3;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;3;4;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Banijagoan;3;5;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Banijagoan;4;1;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;4;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;4;3;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;4;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;4;5;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;5;1;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;5;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Banijagoan;5;3;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;5;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;5;5;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;6;1;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Banijagoan;6;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;6;3;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;6;4;1900;g;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Banijagoan;6;5;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Banijagoan;7;1;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Banijagoan;7;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;7;3;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Banijagoan;7;4;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Banijagoan;7;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;8;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;8;2;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;8;3;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Banijagoan;8;4;400;g;0;1;3000;13000;2600;15600;basic;NA;NA;NA;NA;NA;NA
Banijagoan;8;5;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;9;1;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;9;2;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Banijagoan;9;3;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;9;4;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;9;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Banijagoan;10;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;10;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;10;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;10;4;2100;g;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;10;5;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Banijagoan;11;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;11;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;11;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;11;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;11;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;12;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;12;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;12;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;12;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;12;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;13;1;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Banijagoan;13;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;13;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;13;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;13;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Banijagoan;14;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;14;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;14;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Banijagoan;14;4;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Banijagoan;14;5;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Banijagoan;1;6;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Banijagoan;1;7;1600;g;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Banijagoan;1;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Banijagoan;1;9;900;g;0;1;3000;13000;2100;15100;com;NA;NA;NA;NA;NA;NA
Banijagoan;1;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Banijagoan;2;6;1000;g;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Banijagoan;2;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Banijagoan;2;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;2;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Banijagoan;2;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Banijagoan;3;6;1000;g;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Banijagoan;3;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Banijagoan;3;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;3;9;2100;g;0;1;3000;13000;900;13900;com;NA;NA;NA;NA;NA;NA
Banijagoan;3;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Banijagoan;4;6;2000;w;1;0;5500;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Banijagoan;4;7;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Banijagoan;4;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;4;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Banijagoan;4;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Banijagoan;5;6;2900;w;1;0;5500;0;100;100;com;NA;NA;NA;NA;NA;NA
Banijagoan;5;7;2800;g;0;1;3000;0;200;200;com;NA;NA;NA;NA;NA;NA
Banijagoan;5;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;5;9;2100;g;0;1;3000;13000;900;13900;com;NA;NA;NA;NA;NA;NA
Banijagoan;5;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
Banijagoan;6;6;2500;w;1;0;5500;0;500;500;com;NA;NA;NA;NA;NA;NA
Banijagoan;6;7;500;g;0;1;3000;0;2500;2500;com;NA;NA;NA;NA;NA;NA
Banijagoan;6;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;6;9;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Banijagoan;6;10;1400;g;0;1;3000;13000;1600;14600;com;NA;NA;NA;NA;NA;NA
Banijagoan;7;6;2500;w;1;0;5500;0;500;500;com;NA;NA;NA;NA;NA;NA
Banijagoan;7;7;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Banijagoan;7;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;7;9;1500;w;1;0;5500;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Banijagoan;7;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Banijagoan;8;6;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Banijagoan;8;7;2500;w;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Banijagoan;8;8;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
