site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Bariha;1;1;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Bariha;1;2;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Bariha;1;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bariha;1;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Bariha;1;5;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Bariha;2;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bariha;2;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Bariha;2;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Bariha;2;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Bariha;2;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Bariha;3;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Bariha;3;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Bariha;3;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Bariha;3;4;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Bariha;3;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Bariha;4;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Bariha;4;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Bariha;4;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Bariha;4;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Bariha;4;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Bariha;5;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Bariha;5;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Bariha;5;3;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Bariha;5;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Bariha;5;5;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Bariha;6;1;1400;g;0;1;3000;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Bariha;6;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Bariha;6;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bariha;6;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bariha;6;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Bariha;7;1;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Bariha;7;2;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Bariha;7;3;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Bariha;7;4;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Bariha;7;5;2600;w;1;0;5500;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Bariha;8;1;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Bariha;8;2;700;g;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Bariha;8;3;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
