site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Batwar;1;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Batwar;1;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Batwar;1;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Batwar;1;4;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Batwar;1;5;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Batwar;2;1;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Batwar;2;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Batwar;2;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Batwar;2;4;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Batwar;2;5;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Batwar;3;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Batwar;3;2;2600;w;1;0;5500;15000;400;15400;basic;NA;NA;NA;NA;NA;NA
Batwar;3;3;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Batwar;3;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Batwar;3;5;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Batwar;4;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Batwar;4;2;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Batwar;4;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Batwar;4;4;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Batwar;4;5;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Batwar;5;1;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Batwar;5;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Batwar;5;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Batwar;5;4;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Batwar;5;5;2300;g;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
