site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Bhapsa;1;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Bhapsa;1;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Bhapsa;1;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Bhapsa;1;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Bhapsa;1;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Bhapsa;2;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bhapsa;2;2;1400;w;1;0;5500;15000;1600;16600;basic;NA;NA;NA;NA;NA;NA
Bhapsa;2;3;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Bhapsa;2;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bhapsa;2;5;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Bhapsa;3;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Bhapsa;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Bhapsa;3;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Bhapsa;3;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Bhapsa;3;5;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Bhapsa;4;1;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Bhapsa;4;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
