site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Budhanwara;1;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Budhanwara;1;2;1600;w;1;0;5500;15000;1400;16400;basic;NA;NA;NA;NA;NA;NA
Budhanwara;1;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Budhanwara;1;4;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Budhanwara;1;5;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Budhanwara;2;1;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Budhanwara;2;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Budhanwara;2;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Budhanwara;2;4;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Budhanwara;2;5;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Budhanwara;3;1;2200;w;1;0;5500;15000;800;15800;basic;NA;NA;NA;NA;NA;NA
Budhanwara;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Budhanwara;3;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Budhanwara;3;4;2600;w;1;0;5500;15000;400;15400;basic;NA;NA;NA;NA;NA;NA
Budhanwara;3;5;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Budhanwara;4;1;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Budhanwara;4;2;1600;w;1;0;5500;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Budhanwara;4;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
