site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Chandiya_Ryt;1;1;900;g;0;1;3000;13000;2100;15100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;2;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;3;2400;w;1;0;5500;15000;600;15600;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;4;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;5;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;1;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;4;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;1;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;1;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;3;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;3;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;2;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;3;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;4;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;7;1;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;7;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;7;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;7;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;7;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;8;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;8;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;8;3;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;8;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;8;5;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;9;1;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;9;2;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;9;3;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;9;4;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;9;5;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;10;1;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;10;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;10;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;10;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;10;5;1900;g;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;11;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;11;2;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;11;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;11;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;11;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;12;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;12;2;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;12;3;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;12;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;12;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;13;1;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;13;2;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;13;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;13;4;2900;w;1;0;5500;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;13;5;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;14;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;14;2;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;14;3;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;14;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;14;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;6;2400;w;1;0;5500;15000;600;15600;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;9;2000;w;1;0;5500;15000;1000;16000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;1;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;6;1500;g;0;1;3000;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;9;2000;w;1;0;5500;15000;1000;16000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;2;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;6;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;9;2000;w;1;0;5500;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;3;10;3000;w;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;6;500;g;0;1;3000;0;2500;2500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;9;2000;w;1;0;5500;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;4;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;6;1600;g;0;1;3000;0;1400;1400;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;9;2000;w;1;0;5500;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;5;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;6;1300;g;0;1;3000;0;1700;1700;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;9;2000;w;1;0;5500;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Chandiya_Ryt;6;10;2400;g;0;1;3000;13000;600;13600;com;NA;NA;NA;NA;NA;NA
