site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Changariya;1;1;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Changariya;1;2;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Changariya;1;3;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Changariya;1;4;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;1;5;400;w;1;0;5500;13000;2600;15600;basic;NA;NA;NA;NA;NA;NA
Changariya;2;1;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Changariya;2;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;2;3;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;2;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;2;5;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Changariya;3;1;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Changariya;3;2;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Changariya;3;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Changariya;3;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Changariya;3;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Changariya;4;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;4;2;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Changariya;4;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Changariya;4;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Changariya;4;5;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Changariya;5;1;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Changariya;5;2;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Changariya;5;3;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Changariya;5;4;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Changariya;5;5;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Changariya;6;1;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Changariya;6;2;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;6;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;6;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;6;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;7;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Changariya;7;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Changariya;7;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Changariya;7;4;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Changariya;7;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Changariya;8;1;2100;w;1;0;5500;15000;900;15900;basic;NA;NA;NA;NA;NA;NA
Changariya;8;2;2500;w;1;0;5500;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Changariya;8;3;2800;w;1;0;5500;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
