site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Chatuwakhar;1;1;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;2;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;3;2300;g;0;1;3000;13000;700;13700;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;4;1400;g;0;1;3000;13000;1600;14600;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;2;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;2;2;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;2;3;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;2;4;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;2;5;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;3;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;3;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;3;3;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;3;4;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;3;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;4;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;4;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;4;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;4;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;4;5;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;5;1;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;5;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;5;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;5;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;5;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;6;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;6;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;6;3;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;6;4;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;6;5;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;7;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;7;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;7;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;7;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;7;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;8;1;300;w;1;0;5500;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;8;2;1700;w;1;0;5500;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;8;3;600;w;1;0;5500;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;8;4;700;w;1;0;5500;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;8;5;1800;w;1;0;5500;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;9;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;9;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;9;3;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;9;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;9;5;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;10;1;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;10;2;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;10;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;10;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;10;5;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;11;1;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;11;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;11;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;11;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;11;5;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;12;1;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;12;2;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;12;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;12;4;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;12;5;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;13;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;13;2;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;13;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;13;4;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;13;5;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;14;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;14;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;14;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;14;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;14;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;6;1100;g;0;1;3000;13000;1900;14900;com;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;7;1600;g;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;8;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Chatuwakhar;1;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Chatuwakhar;2;6;1100;g;0;1;3000;0;1900;1900;com;NA;NA;NA;NA;NA;NA
