site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Deori;1;1;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Deori;1;2;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Deori;1;3;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Deori;1;4;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Deori;1;5;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Deori;2;1;1200;G;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Deori;2;2;3000;W;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Deori;2;3;3000;W;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Deori;2;4;1900;G;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Deori;2;5;2800;G;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Deori;3;1;1200;G;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Deori;3;2;1200;G;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Deori;3;3;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Deori;3;4;1400;G;0;1;3000;13000;1600;14600;basic;NA;NA;NA;NA;NA;NA
Deori;3;5;1300;G;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Deori;4;1;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Deori;4;2;100;G;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Deori;4;3;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Deori;4;4;2500;W;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
