site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dhamangaon;1;1;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;1;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;1;3;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;1;4;2400;w;1;0;5500;15000;600;15600;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;1;5;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;2;1;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;2;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;2;3;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;2;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;2;5;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;3;1;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;3;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;3;3;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;3;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;3;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;4;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;4;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;4;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;4;4;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;4;5;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;5;1;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;5;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;5;3;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;5;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;5;5;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;6;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;6;2;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;6;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dhamangaon;6;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
