site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dharampuri_Mal;1;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;1;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;1;3;400;g;0;1;3000;13000;2600;15600;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;1;4;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;1;5;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;2;1;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;2;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;2;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;2;5;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;3;1;0;w;1;0;5500;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;3;2;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;3;3;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;3;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;3;5;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;4;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;4;2;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;4;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;4;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;4;5;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;5;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;5;2;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;5;3;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Dharampuri_Mal;5;4;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
