site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dilwara;1;1;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Dilwara;1;2;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Dilwara;1;3;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Dilwara;1;4;1200;w;1;0;5500;15000;1800;16800;basic;NA;NA;NA;NA;NA;NA
Dilwara;1;5;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Dilwara;2;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;2;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dilwara;2;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Dilwara;2;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;2;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dilwara;3;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dilwara;3;2;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Dilwara;3;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Dilwara;3;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;3;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dilwara;4;1;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Dilwara;4;2;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Dilwara;4;3;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Dilwara;4;4;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Dilwara;4;5;1800;w;1;0;5500;15000;1200;16200;basic;NA;NA;NA;NA;NA;NA
Dilwara;5;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dilwara;5;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dilwara;5;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;5;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;5;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dilwara;6;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;6;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;6;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;6;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;6;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;7;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dilwara;7;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;7;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dilwara;7;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;7;5;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dilwara;8;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dilwara;8;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dilwara;8;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dilwara;8;4;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dilwara;8;5;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Dilwara;9;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;9;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;9;3;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dilwara;9;4;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dilwara;9;5;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Dilwara;10;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;10;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dilwara;10;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dilwara;10;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Dilwara;10;5;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Dilwara;11;1;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dilwara;11;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dilwara;11;3;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Dilwara;11;4;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Dilwara;11;5;1600;w;1;0;5500;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Dilwara;12;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;12;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dilwara;12;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dilwara;12;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
