site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dudka;1;1;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dudka;1;2;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dudka;1;3;1200;G;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Dudka;1;4;100;G;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Dudka;1;5;1100;G;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Dudka;2;1;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;2;2;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;2;3;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Dudka;2;4;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dudka;2;5;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;3;1;300;G;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Dudka;3;2;700;G;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Dudka;3;3;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;3;4;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dudka;3;5;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dudka;4;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dudka;4;2;2100;G;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Dudka;4;3;2100;G;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Dudka;4;4;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dudka;4;5;600;G;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Dudka;5;1;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;5;2;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dudka;5;3;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;5;4;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;5;5;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dudka;6;1;1800;G;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Dudka;6;2;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Dudka;6;3;1400;G;0;1;3000;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Dudka;6;4;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;6;5;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dudka;7;1;1200;G;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Dudka;7;2;1200;G;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Dudka;7;3;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;7;4;800;G;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Dudka;7;5;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dudka;8;1;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dudka;8;2;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dudka;8;3;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dudka;8;4;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dudka;8;5;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dudka;9;1;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;9;2;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;9;3;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;9;4;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dudka;9;5;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;10;1;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;10;2;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dudka;10;3;1600;G;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Dudka;10;4;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;10;5;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;11;1;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;11;2;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dudka;11;3;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Dudka;11;4;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;11;5;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dudka;12;1;1900;G;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
