site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dungaria;1;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;1;2;2600;w;1;0;5500;15000;400;15400;basic;NA;NA;NA;NA;NA;NA
Dungaria;1;3;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Dungaria;1;4;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Dungaria;1;5;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Dungaria;2;1;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Dungaria;2;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;2;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Dungaria;2;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Dungaria;2;5;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Dungaria;3;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dungaria;3;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;3;3;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Dungaria;3;4;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Dungaria;3;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;4;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dungaria;4;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;4;3;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Dungaria;4;4;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;4;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;5;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dungaria;5;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungaria;5;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungaria;5;4;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Dungaria;5;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dungaria;6;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungaria;6;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;6;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungaria;6;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;6;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;7;1;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Dungaria;7;2;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Dungaria;7;3;1800;w;1;0;5500;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Dungaria;7;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dungaria;7;5;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungaria;8;1;900;w;1;0;5500;15000;2100;17100;basic;NA;NA;NA;NA;NA;NA
Dungaria;8;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;8;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dungaria;8;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;8;5;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Dungaria;9;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;9;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;9;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;9;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;9;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;10;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dungaria;10;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;10;3;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Dungaria;10;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Dungaria;10;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Dungaria;11;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dungaria;11;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungaria;11;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungaria;11;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Dungaria;11;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;12;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Dungaria;12;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;12;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;12;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;12;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungaria;13;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dungaria;13;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;13;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Dungaria;13;4;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;13;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Dungaria;14;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungaria;14;2;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Dungaria;14;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungaria;14;4;2600;w;1;0;5500;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Dungaria;14;5;2600;w;1;0;5500;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Dungaria;1;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;1;7;2600;w;1;0;5500;15000;400;15400;com;NA;NA;NA;NA;NA;NA
Dungaria;1;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;1;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Dungaria;1;10;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Dungaria;2;6;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Dungaria;2;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;2;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;2;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Dungaria;2;10;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;3;6;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Dungaria;3;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;3;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;3;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;3;10;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;4;6;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Dungaria;4;7;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Dungaria;4;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;4;9;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;4;10;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;5;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;5;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Dungaria;5;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;5;9;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;5;10;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Dungaria;6;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;6;7;1600;g;0;1;3000;0;1400;1400;com;NA;NA;NA;NA;NA;NA
Dungaria;6;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;6;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;6;10;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Dungaria;7;6;2800;w;1;0;5500;0;200;200;com;NA;NA;NA;NA;NA;NA
Dungaria;7;7;2600;g;0;1;3000;0;400;400;com;NA;NA;NA;NA;NA;NA
