site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dungariya_Ramnagar;1;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;1;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;1;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;1;4;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;1;5;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;2;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;2;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;2;3;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;2;4;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;2;5;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;3;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;3;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;3;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;3;4;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;3;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;4;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;4;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;4;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;4;4;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;4;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;5;1;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;5;2;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;5;3;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;5;4;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;5;5;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Dungariya_Ramnagar;6;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
