site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Dungravt;1;1;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Dungravt;1;2;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Dungravt;1;3;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Dungravt;1;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Dungravt;1;5;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Dungravt;2;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dungravt;2;2;1100;w;1;0;5500;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Dungravt;2;3;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Dungravt;2;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dungravt;2;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Dungravt;3;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungravt;3;2;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Dungravt;3;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungravt;3;4;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Dungravt;3;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dungravt;4;1;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Dungravt;4;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Dungravt;4;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dungravt;4;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Dungravt;4;5;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
