site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Fonk;1;1;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Fonk;1;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Fonk;1;3;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Fonk;1;4;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Fonk;1;5;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Fonk;2;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Fonk;2;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;2;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Fonk;2;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;2;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;3;1;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Fonk;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Fonk;3;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Fonk;3;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Fonk;3;5;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Fonk;4;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Fonk;4;2;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Fonk;4;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Fonk;4;4;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Fonk;4;5;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Fonk;5;1;2300;g;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
Fonk;5;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Fonk;5;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Fonk;5;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Fonk;5;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Fonk;6;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Fonk;6;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Fonk;6;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Fonk;6;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Fonk;6;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Fonk;7;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Fonk;7;2;1600;w;1;0;5500;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Fonk;7;3;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Fonk;7;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Fonk;7;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Fonk;8;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;8;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;8;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;8;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;8;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;9;1;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Fonk;9;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Fonk;9;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Fonk;9;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Fonk;9;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Fonk;10;1;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Fonk;10;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;10;3;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Fonk;10;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Fonk;10;5;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Fonk;11;1;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Fonk;11;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Fonk;11;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;11;4;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Fonk;11;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Fonk;12;1;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Fonk;12;2;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Fonk;12;3;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Fonk;12;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;12;5;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Fonk;13;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Fonk;13;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Fonk;13;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Fonk;13;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Fonk;13;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Fonk;14;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Fonk;14;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;14;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;14;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Fonk;14;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Fonk;1;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Fonk;1;7;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Fonk;1;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Fonk;1;9;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Fonk;1;10;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Fonk;2;6;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Fonk;2;7;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Fonk;2;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Fonk;2;9;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Fonk;2;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Fonk;3;6;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Fonk;3;7;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Fonk;3;8;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Fonk;3;9;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Fonk;3;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Fonk;4;6;500;g;0;1;3000;13000;2500;15500;com;NA;NA;NA;NA;NA;NA
