site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Ghont;1;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Ghont;1;2;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Ghont;1;3;700;g;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Ghont;1;4;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Ghont;1;5;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Ghont;2;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Ghont;2;2;500;w;1;0;5500;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Ghont;2;3;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Ghont;2;4;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Ghont;2;5;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Ghont;3;1;2800;w;1;0;5500;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Ghont;3;2;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Ghont;3;3;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Ghont;3;4;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Ghont;3;5;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Ghont;4;1;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Ghont;4;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Ghont;4;3;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Ghont;4;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Ghont;4;5;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Ghont;5;1;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
