site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Gubri;1;1;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Gubri;1;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Gubri;1;3;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Gubri;1;4;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gubri;1;5;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Gubri;2;1;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Gubri;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Gubri;2;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gubri;2;4;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Gubri;2;5;700;w;1;0;5500;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Gubri;3;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gubri;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gubri;3;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Gubri;3;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Gubri;3;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;4;1;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Gubri;4;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gubri;4;3;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Gubri;4;4;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Gubri;4;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gubri;5;1;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Gubri;5;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gubri;5;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Gubri;5;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Gubri;5;5;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Gubri;6;1;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Gubri;6;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Gubri;6;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gubri;6;4;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Gubri;6;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Gubri;7;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gubri;7;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gubri;7;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gubri;7;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gubri;7;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gubri;8;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Gubri;8;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Gubri;8;3;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Gubri;8;4;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Gubri;8;5;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Gubri;9;1;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Gubri;9;2;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Gubri;9;3;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Gubri;9;4;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Gubri;9;5;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Gubri;10;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Gubri;10;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;10;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;10;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gubri;10;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Gubri;11;1;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Gubri;11;2;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Gubri;11;3;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Gubri;11;4;2100;g;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Gubri;11;5;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Gubri;12;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;12;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Gubri;12;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Gubri;12;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Gubri;12;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Gubri;13;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gubri;13;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gubri;13;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;13;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gubri;13;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;14;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;14;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gubri;14;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Gubri;14;4;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Gubri;14;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gubri;1;6;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Gubri;1;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Gubri;1;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Gubri;1;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
