site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Gunegaon;1;1;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;1;2;1600;G;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Gunegaon;1;3;2200;G;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Gunegaon;1;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;1;5;1600;G;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Gunegaon;2;1;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;2;2;2000;W;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;2;3;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;2;4;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;2;5;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;3;1;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;3;2;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;3;3;2900;W;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;3;4;3000;W;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;3;5;3000;W;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;4;1;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;4;2;2600;G;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Gunegaon;4;3;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;4;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;4;5;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;5;1;2500;W;1;0;5500;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;5;2;2500;W;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;5;3;2900;W;1;0;5500;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;5;4;3000;G;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Gunegaon;5;5;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunegaon;6;1;2200;G;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Gunegaon;6;2;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Gunegaon;6;3;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;6;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;6;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Gunegaon;7;1;1300;W;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Gunegaon;7;2;2700;W;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Gunegaon;7;3;300;G;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Gunegaon;7;4;2700;W;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
