site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Gunehara;1;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;1;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Gunehara;1;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;1;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;1;5;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Gunehara;2;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gunehara;2;2;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Gunehara;2;3;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Gunehara;2;4;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Gunehara;2;5;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Gunehara;3;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gunehara;3;2;2400;w;1;0;5500;15000;600;15600;basic;NA;NA;NA;NA;NA;NA
Gunehara;3;3;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Gunehara;3;4;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Gunehara;3;5;1600;w;1;0;5500;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Gunehara;4;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;4;2;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Gunehara;4;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;4;4;1800;w;1;0;5500;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Gunehara;4;5;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gunehara;5;1;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Gunehara;5;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Gunehara;5;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Gunehara;5;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gunehara;5;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;6;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Gunehara;6;2;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Gunehara;6;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Gunehara;6;4;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Gunehara;6;5;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Gunehara;7;1;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Gunehara;7;2;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Gunehara;7;3;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gunehara;7;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;7;5;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Gunehara;8;1;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Gunehara;8;2;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Gunehara;8;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Gunehara;8;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;8;5;2300;g;0;1;3000;13000;700;13700;basic;NA;NA;NA;NA;NA;NA
Gunehara;9;1;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Gunehara;9;2;2300;g;0;1;3000;13000;700;13700;basic;NA;NA;NA;NA;NA;NA
Gunehara;9;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;9;4;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Gunehara;9;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;10;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gunehara;10;2;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Gunehara;10;3;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Gunehara;10;4;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Gunehara;10;5;2200;w;1;0;5500;15000;800;15800;basic;NA;NA;NA;NA;NA;NA
Gunehara;11;1;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Gunehara;11;2;1400;g;0;1;3000;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Gunehara;11;3;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Gunehara;11;4;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Gunehara;11;5;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Gunehara;12;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gunehara;12;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;12;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gunehara;12;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;12;5;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Gunehara;13;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Gunehara;13;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Gunehara;13;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;13;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gunehara;13;5;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Gunehara;14;1;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;14;2;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Gunehara;14;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Gunehara;14;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Gunehara;14;5;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Gunehara;1;6;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Gunehara;1;7;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;1;8;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;1;9;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;1;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;2;6;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Gunehara;2;7;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Gunehara;2;8;2200;g;0;1;3000;13000;800;13800;com;NA;NA;NA;NA;NA;NA
Gunehara;2;9;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;2;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Gunehara;3;6;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;3;7;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;3;8;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;3;9;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;3;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Gunehara;4;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Gunehara;4;7;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Gunehara;4;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Gunehara;4;9;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;4;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Gunehara;5;6;1600;g;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Gunehara;5;7;1200;w;1;0;5500;15000;1800;16800;com;NA;NA;NA;NA;NA;NA
Gunehara;5;8;1800;g;0;1;3000;13000;1200;14200;com;NA;NA;NA;NA;NA;NA
Gunehara;5;9;1500;w;1;0;5500;15000;1500;16500;com;NA;NA;NA;NA;NA;NA
Gunehara;5;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Gunehara;6;6;1700;g;0;1;3000;13000;1300;14300;com;NA;NA;NA;NA;NA;NA
Gunehara;6;7;1600;w;1;0;5500;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Gunehara;6;8;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Gunehara;6;9;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;6;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Gunehara;7;6;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Gunehara;7;7;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Gunehara;7;8;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Gunehara;7;9;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Gunehara;7;10;2300;g;0;1;3000;13000;700;13700;com;NA;NA;NA;NA;NA;NA
Gunehara;8;6;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Gunehara;8;7;1500;w;1;0;5500;15000;1500;16500;com;NA;NA;NA;NA;NA;NA
Gunehara;8;8;1700;g;0;1;3000;13000;1300;14300;com;NA;NA;NA;NA;NA;NA
Gunehara;8;9;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Gunehara;8;10;1800;g;0;1;3000;13000;1200;14200;com;NA;NA;NA;NA;NA;NA
Gunehara;9;6;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Gunehara;9;7;1800;g;0;1;3000;13000;1200;14200;com;NA;NA;NA;NA;NA;NA
Gunehara;9;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Gunehara;9;9;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
Gunehara;9;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Gunehara;10;6;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Gunehara;10;7;2700;w;1;0;5500;15000;300;15300;com;NA;NA;NA;NA;NA;NA
