site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Jhagul;1;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Jhagul;1;2;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Jhagul;1;3;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Jhagul;1;4;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Jhagul;1;5;2100;w;1;0;5500;15000;900;15900;basic;NA;NA;NA;NA;NA;NA
Jhagul;2;1;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Jhagul;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Jhagul;2;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhagul;2;4;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Jhagul;2;5;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Jhagul;3;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhagul;3;2;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Jhagul;3;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhagul;3;4;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Jhagul;3;5;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Jhagul;4;1;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Jhagul;4;2;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Jhagul;4;3;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Jhagul;4;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Jhagul;4;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Jhagul;5;1;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Jhagul;5;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhagul;5;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhagul;5;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhagul;5;5;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Jhagul;6;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhagul;6;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhagul;6;3;2300;g;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
Jhagul;6;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhagul;6;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhagul;7;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhagul;7;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhagul;7;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Jhagul;7;4;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Jhagul;7;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhagul;8;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhagul;8;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhagul;8;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Jhagul;8;4;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Jhagul;8;5;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Jhagul;9;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Jhagul;9;2;600;w;1;0;5500;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Jhagul;9;3;300;w;1;0;5500;15000;2700;17700;basic;NA;NA;NA;NA;NA;NA
Jhagul;9;4;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Jhagul;9;5;200;w;1;0;5500;15000;2800;17800;basic;NA;NA;NA;NA;NA;NA
Jhagul;10;1;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Jhagul;10;2;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Jhagul;10;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Jhagul;10;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Jhagul;10;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Jhagul;11;1;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Jhagul;11;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhagul;11;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Jhagul;11;4;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Jhagul;11;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhagul;12;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhagul;12;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhagul;12;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhagul;12;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhagul;12;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhagul;13;1;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Jhagul;13;2;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Jhagul;13;3;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Jhagul;13;4;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Jhagul;13;5;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Jhagul;14;1;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Jhagul;14;2;2300;g;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
Jhagul;14;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhagul;14;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhagul;14;5;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhagul;1;6;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Jhagul;1;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Jhagul;1;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Jhagul;1;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;1;10;3000;w;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
Jhagul;2;6;1800;g;0;1;3000;13000;1200;14200;com;NA;NA;NA;NA;NA;NA
Jhagul;2;7;1700;g;0;1;3000;0;1300;1300;com;NA;NA;NA;NA;NA;NA
Jhagul;2;8;1800;g;0;1;3000;13000;1200;14200;com;NA;NA;NA;NA;NA;NA
Jhagul;2;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;2;10;3000;w;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
Jhagul;3;6;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;3;7;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Jhagul;3;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Jhagul;3;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;3;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Jhagul;4;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Jhagul;4;7;300;g;0;1;3000;0;2700;2700;com;NA;NA;NA;NA;NA;NA
Jhagul;4;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;4;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;4;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Jhagul;5;6;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;5;7;2700;g;0;1;3000;0;300;300;com;NA;NA;NA;NA;NA;NA
Jhagul;5;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Jhagul;5;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;5;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Jhagul;6;6;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Jhagul;6;7;200;g;0;1;3000;0;2800;2800;com;NA;NA;NA;NA;NA;NA
Jhagul;6;8;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Jhagul;6;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;6;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Jhagul;7;6;2100;g;0;1;3000;13000;900;13900;com;NA;NA;NA;NA;NA;NA
Jhagul;7;7;900;g;0;1;3000;0;2100;2100;com;NA;NA;NA;NA;NA;NA
Jhagul;7;8;2800;g;0;1;3000;0;200;200;com;NA;NA;NA;NA;NA;NA
Jhagul;7;9;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Jhagul;7;10;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Jhagul;8;6;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Jhagul;8;7;1600;g;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Jhagul;8;8;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Jhagul;8;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
