site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Jhulup;1;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Jhulup;1;2;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Jhulup;1;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Jhulup;1;4;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Jhulup;1;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Jhulup;2;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhulup;2;2;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhulup;2;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhulup;2;4;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Jhulup;2;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Jhulup;3;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;3;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;3;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhulup;3;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;3;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;4;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Jhulup;4;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Jhulup;4;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;4;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;4;5;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Jhulup;5;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;5;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;5;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhulup;5;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;5;5;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Jhulup;6;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Jhulup;6;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhulup;6;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;6;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;6;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;7;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhulup;7;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhulup;7;3;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Jhulup;7;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhulup;7;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Jhulup;8;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhulup;8;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Jhulup;8;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhulup;8;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Jhulup;8;5;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Jhulup;9;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Jhulup;9;2;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Jhulup;9;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhulup;9;4;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Jhulup;9;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;10;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;10;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Jhulup;10;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Jhulup;10;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;10;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Jhulup;11;1;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Jhulup;11;2;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Jhulup;11;3;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Jhulup;11;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Jhulup;11;5;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
