site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Kanhari_Kalan;1;1;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;1;2;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;1;3;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;1;4;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;1;5;700;g;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;2;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;2;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;2;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;2;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;2;5;1900;g;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;3;1;700;w;1;0;5500;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;3;2;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;3;3;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;3;4;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;3;5;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;4;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;4;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;4;3;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;4;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;4;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;5;1;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;5;2;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;5;3;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;5;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;5;5;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;6;1;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;6;2;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;6;3;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;6;4;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;6;5;400;w;1;0;5500;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;7;1;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;7;2;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;7;3;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;7;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;7;5;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;8;1;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;8;2;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;8;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;8;4;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;8;5;800;g;0;1;3000;13000;2200;15200;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;9;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;9;2;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;9;3;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;9;4;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;9;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;10;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;10;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Kalan;10;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
