site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Kanhari_Khurd;1;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;1;2;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;1;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;1;4;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;1;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;2;1;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;2;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;2;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;2;4;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;2;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;3;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;3;2;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;3;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;3;4;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;3;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;4;1;2100;w;1;0;5500;15000;900;15900;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;4;2;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;4;3;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;4;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;4;5;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;5;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;5;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;5;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;5;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;5;5;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;6;1;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;6;2;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;6;3;2800;w;1;0;5500;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;6;4;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;6;5;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;7;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;7;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;7;3;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;7;4;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;7;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;8;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;8;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;8;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;8;4;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;8;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;9;1;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;9;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kanhari_Khurd;9;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
