site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Kanskheda;1;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;1;2;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;1;3;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;1;4;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;1;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;2;1;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;2;2;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Kanskheda;2;3;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Kanskheda;2;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kanskheda;2;5;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Kanskheda;3;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;3;2;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;3;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;3;4;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;3;5;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;4;1;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;4;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;4;3;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Kanskheda;4;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;4;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;5;1;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Kanskheda;5;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;5;3;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Kanskheda;5;4;2100;w;1;0;5500;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Kanskheda;5;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;6;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;6;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;6;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;6;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;6;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;7;1;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;7;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;7;3;2100;g;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Kanskheda;7;4;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Kanskheda;7;5;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;8;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kanskheda;8;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kanskheda;8;3;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Kanskheda;8;4;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Kanskheda;8;5;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kanskheda;9;1;1600;w;1;0;5500;15000;1400;16400;basic;NA;NA;NA;NA;NA;NA
Kanskheda;9;2;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Kanskheda;9;3;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
