site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Katanga_Ryt;1;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;1;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;1;3;1800;w;1;0;5500;15000;1200;16200;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;1;4;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;1;5;1800;w;1;0;5500;15000;1200;16200;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;2;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;2;2;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;2;3;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;2;4;2900;w;1;0;5500;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;2;5;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;3;1;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;3;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;3;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;3;4;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;3;5;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;4;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;4;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;4;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;4;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;4;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;5;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;5;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;5;3;2300;g;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;5;4;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;5;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;6;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;6;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;6;3;400;w;1;0;5500;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;6;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;6;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;7;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;7;2;1400;w;1;0;5500;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;7;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;7;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;7;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;8;1;2600;w;1;0;5500;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;8;2;1600;w;1;0;5500;15000;1400;16400;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;8;3;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;8;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;8;5;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;9;1;700;w;1;0;5500;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;9;2;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;9;3;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;9;4;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;9;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;10;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;10;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;10;3;1700;w;1;0;5500;15000;1300;16300;basic;NA;NA;NA;NA;NA;NA
Katanga_Ryt;10;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
