site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Khalaudi_FV;1;1;400;g;0;1;3000;13000;2600;15600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;1;2;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;1;3;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;1;4;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;1;5;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;2;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;2;2;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;2;3;2500;w;1;0;5500;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;2;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;2;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;3;1;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;3;2;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;3;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;3;4;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;3;5;400;w;1;0;5500;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;4;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;4;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;4;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;4;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;4;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;5;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;5;2;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;5;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;5;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;5;5;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;6;1;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;6;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;6;3;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;6;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;6;5;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;7;1;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;7;2;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;7;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;7;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;7;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;8;1;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;8;2;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;8;3;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;8;4;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;8;5;400;g;0;1;3000;13000;2600;15600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;9;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;9;2;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;9;3;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;9;4;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;9;5;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;10;1;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;10;2;100;w;1;0;5500;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;10;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;10;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;10;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;11;1;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;11;2;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;11;3;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;11;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;11;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;12;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;12;2;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;12;3;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;12;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Khalaudi_FV;12;5;1900;g;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
