site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Khamrauti;1;1;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khamrauti;1;2;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;1;3;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;1;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;1;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;2;1;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;2;2;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;2;3;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khamrauti;2;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;2;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;3;1;1700;G;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Khamrauti;3;2;1700;G;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Khamrauti;3;3;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khamrauti;3;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;3;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;4;1;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;4;2;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;4;3;2300;G;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;4;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;4;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;5;1;1300;G;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;5;2;1300;G;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;5;3;300;G;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;5;4;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;5;5;1200;G;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Khamrauti;6;1;3000;G;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khamrauti;6;2;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;6;3;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;6;4;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khamrauti;6;5;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khamrauti;7;1;2700;G;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khamrauti;7;2;2700;G;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khamrauti;7;3;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khamrauti;7;4;1800;G;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Khamrauti;7;5;2900;G;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Khamrauti;8;1;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;8;2;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;8;3;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;8;4;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;8;5;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;9;1;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;9;2;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;9;3;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;9;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;9;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;10;1;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;10;2;2000;G;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khamrauti;10;3;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;10;4;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;10;5;2500;G;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;11;1;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Khamrauti;11;2;2300;G;0;1;3000;0;700;700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;11;3;2300;G;0;1;3000;13000;700;13700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;11;4;2300;G;0;1;3000;13000;700;13700;basic;NA;NA;NA;NA;NA;NA
Khamrauti;11;5;2800;G;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Khamrauti;12;1;1700;G;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Khamrauti;12;2;1700;G;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Khamrauti;12;3;2600;G;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
