site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Kharpariya;1;1;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;1;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Kharpariya;1;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;1;4;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Kharpariya;1;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;2;1;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;2;2;1400;g;0;1;3000;13000;1600;14600;basic;NA;NA;NA;NA;NA;NA
Kharpariya;2;3;1800;w;1;0;5500;15000;1200;16200;basic;NA;NA;NA;NA;NA;NA
Kharpariya;2;4;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;2;5;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;3;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;3;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;3;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;3;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;3;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;4;1;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Kharpariya;4;2;2400;w;1;0;5500;15000;600;15600;basic;NA;NA;NA;NA;NA;NA
Kharpariya;4;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;4;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;4;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;5;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;5;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;5;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;5;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;5;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;6;1;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Kharpariya;6;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;6;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;6;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;6;5;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;7;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;7;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;7;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;7;4;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;7;5;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;8;1;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;8;2;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;8;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;8;4;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;8;5;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Kharpariya;9;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kharpariya;9;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
