site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Khatiya_Narangi;1;1;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;2;100;w;1;0;5500;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;3;500;w;1;0;5500;15000;2500;17500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;4;100;w;1;0;5500;15000;2900;17900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;5;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;4;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;5;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;1;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;3;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;5;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;2;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;4;3000;w;1;0;5500;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;5;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;1;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;2;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;5;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;3;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;4;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;1;300;w;1;0;5500;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;2;700;w;1;0;5500;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;3;1100;w;1;0;5500;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;4;2100;w;1;0;5500;15000;900;15900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;5;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;1;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;2;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;3;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;4;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;5;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;2;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;4;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;1;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;2;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;3;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;4;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;5;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;1;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;2;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;4;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;13;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;13;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;13;3;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;13;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;13;5;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;14;1;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;14;2;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;14;3;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;14;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;14;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;6;1000;g;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;7;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;9;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;1;10;1800;g;0;1;3000;13000;1200;14200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;6;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;7;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;8;1000;g;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;9;2600;w;1;0;5500;15000;400;15400;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;2;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;6;500;g;0;1;3000;13000;2500;15500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;7;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;8;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;9;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;3;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;6;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;7;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;8;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;9;1000;g;0;1;3000;0;2000;2000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;4;10;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;6;2700;g;0;1;3000;0;300;300;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;7;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;8;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;9;2800;g;0;1;3000;0;200;200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;5;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;6;1000;g;0;1;3000;0;2000;2000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;7;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;8;2000;g;0;1;3000;0;1000;1000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;9;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;6;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;6;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;7;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;8;2800;g;0;1;3000;0;200;200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;9;1100;g;0;1;3000;0;1900;1900;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;7;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;6;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;8;10;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;6;1000;g;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;7;800;g;0;1;3000;13000;2200;15200;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;8;2200;w;1;0;5500;15000;800;15800;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;9;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;9;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;6;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;8;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;9;2000;g;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;10;10;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;6;1300;w;1;0;5500;0;1700;1700;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;9;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;11;10;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;6;3000;g;0;1;3000;0;0;0;com;NA;NA;NA;NA;NA;NA
Khatiya_Narangi;12;7;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
