site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Khirahani;1;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;1;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;1;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;1;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;1;5;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Khirahani;2;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;2;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;2;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;2;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;2;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Khirahani;3;1;800;w;1;0;5500;15000;2200;17200;basic;NA;NA;NA;NA;NA;NA
Khirahani;3;2;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Khirahani;3;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Khirahani;3;4;2400;g;0;1;3000;13000;600;13600;basic;NA;NA;NA;NA;NA;NA
Khirahani;3;5;1900;w;1;0;5500;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Khirahani;4;1;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Khirahani;4;2;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Khirahani;4;3;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Khirahani;4;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Khirahani;4;5;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khirahani;5;1;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Khirahani;5;2;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Khirahani;5;3;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Khirahani;5;4;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Khirahani;5;5;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khirahani;6;1;2700;w;1;0;5500;0;300;300;basic;NA;NA;NA;NA;NA;NA
Khirahani;6;2;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khirahani;6;3;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khirahani;6;4;3000;w;1;0;5500;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khirahani;6;5;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
