site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Khuksar_RF;1;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;1;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;1;3;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;1;4;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;1;5;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;2;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;2;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;2;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;2;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;3;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;3;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;3;4;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;3;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;4;1;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;4;2;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;4;3;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;4;4;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;4;5;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;5;1;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;5;2;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;5;3;2700;w;1;0;5500;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;5;4;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;5;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;6;1;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;6;2;1400;g;0;1;3000;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;6;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;6;4;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;6;5;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;7;1;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;7;2;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;7;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;7;4;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;7;5;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Khuksar_RF;8;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
