site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Kosampani;1;1;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Kosampani;1;2;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Kosampani;1;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Kosampani;1;4;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Kosampani;1;5;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Kosampani;2;1;900;g;0;1;3000;13000;2100;15100;basic;NA;NA;NA;NA;NA;NA
Kosampani;2;2;800;g;0;1;3000;13000;2200;15200;basic;NA;NA;NA;NA;NA;NA
Kosampani;2;3;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Kosampani;2;4;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Kosampani;2;5;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Kosampani;3;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Kosampani;3;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Kosampani;3;3;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Kosampani;3;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Kosampani;3;5;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Kosampani;4;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kosampani;4;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Kosampani;4;3;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
