play_no,round,investment,age,propose_rule,agree_rule,reject_rule,argue,praises,complains,propose_punish,propose_reward,sample_vill,site_ID,playerid,edu,sex,role_yn,cont_lab,cont_money,reci_wat,crop_choice,dist_field,total_help,fes_village,treat,payment_form,position_game,disclosure,communication,L1_propose_rule,L1_agree_rule,L1_reject_rule,L1_praises,L1_argue,L1_propose_punish,L1_propose_reward,L1_propose_reward_others,L1_reject_rule_others,L1_agree_rule_others,L1_propose_rule_others,L1_propose_punish_others,L1_argue_others,L1_investment,aver_inv_other,L1_aver_inv_other,other_group_inv,wheat_choice_others,L1_wheat_choice_others,L1_crop_choice,L1_wheat_choice_other_group,damforfarming,otherinvestedmore,L1_otherinvestedmore
2,1,2000,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,0,0,6,0,0,,,,,,,,,,,,,,,1983.333,,15500,0,,,,0,1,
6,1,1200,49,0,0,0,0,0,0,0,0,1,1,2106,2,0,0,0,0,0,1,12,0,0,0,0,2,0,0,,,,,,,,,,,,,,,2100,,12100,0,,,,0,0,
8,1,2900,26,0,0,0,0,0,0,0,0,1,1,2108,2,1,0,0,0,0,1,11,2,0,0,0,7,0,0,,,,,,,,,,,,,,,2083.333,,12100,0,,,,0,0,
10,1,1200,30,0,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,0,0,5,0,0,,,,,,,,,,,,,,,2100,,12100,0,,,,0,0,
13,1,3000,35,0,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,1,10,1,0,0,0,2,0,0,,,,,,,,,,,,,,,1983.333,,15500,0,,,,0,1,
4,1,3000,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,1,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,2100,,12100,0,,,,0,0,
12,1,2900,35,0,0,0,0,0,0,0,0,1,1,2112,4,1,0,0,0,0,1,12,1,0,0,0,3,0,0,,,,,,,,,,,,,,,1983.333,,15500,0,,,,0,1,
11,1,1000,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,0,0,4,0,0,,,,,,,,,,,,,,,1983.333,,15500,0,,,,0,1,
7,1,3000,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,0,0,1,0,0,,,,,,,,,,,,,,,2100,,12100,0,,,,0,0,
3,1,1000,24,0,0,0,0,0,0,0,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,0,0,5,0,0,,,,,,,,,,,,,,,1983.333,,15500,0,,,,0,1,
1,1,200,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,0,0,7,0,0,,,,,,,,,,,,,,,1683.333,,15500,0,,,,0,1,
14,1,2000,30,0,0,0,0,0,0,0,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,0,0,1,0,0,,,,,,,,,,,,,,,1983.333,,15500,0,,,,0,1,
9,1,3000,35,0,0,0,0,0,0,0,0,1,1,2109,2,1,1,0,0,0,1,15,2,0,0,0,6,0,0,,,,,,,,,,,,,,,2100,,12100,0,,,,0,0,
5,1,1200,55,0,0,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,0,0,3,0,0,,,,,,,,,,,,,,,2100,,12100,0,,,,0,0,
8,2,3000,26,0,0,0,0,0,0,0,0,1,1,2108,2,1,0,0,0,0,1,11,2,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,2900,1900,2083.333,11000,1,0,1,0,0,0,0
9,2,3000,35,0,0,0,0,0,0,0,0,1,1,2109,2,1,1,0,0,0,1,15,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,3000,1900,2100,11000,1,0,1,0,0,0,0
11,2,1200,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,1000,1783.333,1983.333,14400,0,0,1,0,0,1,1
1,2,300,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,200,1500,1683.333,14400,0,0,1,0,0,1,1
12,2,3000,35,0,0,0,0,0,0,0,0,1,1,2112,4,1,0,0,0,0,1,12,1,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,2900,1783.333,1983.333,14400,0,0,1,0,0,1,1
7,2,3000,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,3000,1900,2100,11000,1,0,1,0,0,0,0
2,2,2000,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,2000,1783.333,1983.333,14400,0,0,1,0,0,1,1
5,2,1200,55,0,0,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,1200,1900,2100,11000,1,0,1,0,0,0,0
6,2,3000,49,0,0,0,0,0,0,0,0,1,1,2106,2,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,1200,1900,2100,11000,1,0,1,0,0,0,0
