site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Magdha;1;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Magdha;1;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Magdha;1;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Magdha;1;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Magdha;1;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Magdha;2;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Magdha;2;2;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Magdha;2;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Magdha;2;4;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Magdha;2;5;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Magdha;3;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Magdha;3;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Magdha;3;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Magdha;3;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Magdha;3;5;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Magdha;4;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Magdha;4;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Magdha;4;3;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Magdha;4;4;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Magdha;4;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
