site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Manegaon;1;1;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Manegaon;1;2;600;G;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Manegaon;1;3;600;W;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Manegaon;1;4;600;W;1;0;5500;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Manegaon;1;5;2000;W;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Manegaon;2;1;1700;G;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Manegaon;2;2;1700;G;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Manegaon;2;3;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Manegaon;2;4;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manegaon;2;5;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;3;1;2600;G;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Manegaon;3;2;400;G;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Manegaon;3;3;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Manegaon;3;4;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Manegaon;3;5;2600;G;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Manegaon;4;1;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manegaon;4;2;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manegaon;4;3;300;W;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Manegaon;4;4;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;4;5;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;5;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;5;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;5;3;100;W;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;5;4;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;5;5;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Manegaon;6;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;6;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;6;3;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;6;4;700;G;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Manegaon;6;5;700;G;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Manegaon;7;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;7;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;7;3;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;7;4;300;G;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Manegaon;7;5;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;8;1;100;G;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Manegaon;8;2;700;G;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Manegaon;8;3;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;8;4;700;G;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Manegaon;8;5;700;G;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Manegaon;9;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;9;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;9;3;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;9;4;200;W;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;9;5;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;10;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;10;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;10;3;100;W;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;10;4;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;10;5;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Manegaon;11;1;2100;W;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Manegaon;11;2;900;W;1;0;5500;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Manegaon;11;3;2100;G;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Manegaon;11;4;900;0;0;0;0;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Manegaon;11;5;900;G;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Manegaon;12;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;12;2;100;W;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;12;3;200;W;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manegaon;12;4;1500;0;0;0;0;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Manegaon;12;5;1700;0;0;0;0;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Manegaon;13;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;13;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;13;3;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;13;4;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;13;5;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manegaon;14;1;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manegaon;14;2;2600;G;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Manegaon;14;3;900;0;0;0;0;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Manegaon;14;4;1800;0;0;0;0;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Manegaon;14;5;2500;0;0;0;0;0;500;500;basic;NA;NA;NA;NA;NA;NA
Manegaon;1;6;2000;G;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Manegaon;1;7;2700;G;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Manegaon;1;8;2800;W;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Manegaon;1;9;2900;G;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Manegaon;1;10;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;2;6;200;G;0;1;3000;0;2800;2800;com;NA;NA;NA;NA;NA;NA
Manegaon;2;7;2700;G;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Manegaon;2;8;2800;G;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Manegaon;2;9;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;2;10;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;3;6;1000;G;0;1;3000;0;2000;2000;com;NA;NA;NA;NA;NA;NA
Manegaon;3;7;2700;G;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Manegaon;3;8;2800;G;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Manegaon;3;9;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;3;10;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;4;6;2600;G;0;1;3000;0;400;400;com;NA;NA;NA;NA;NA;NA
Manegaon;4;7;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;4;8;1000;G;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Manegaon;4;9;2900;G;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Manegaon;4;10;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;5;6;2500;G;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Manegaon;5;7;2700;G;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Manegaon;5;8;2800;G;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Manegaon;5;9;2700;G;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Manegaon;5;10;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Manegaon;6;6;200;G;0;1;3000;0;2800;2800;com;NA;NA;NA;NA;NA;NA
Manegaon;6;7;1600;G;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Manegaon;6;8;2500;G;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
