site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Mangaveli_Ryt;1;1;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;1;2;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;1;3;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;1;4;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;1;5;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;2;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;2;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;2;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;2;5;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;3;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;3;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;3;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;3;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;3;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;4;1;0;g;0;1;3000;0;3000;3000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;4;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;4;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;4;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;4;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;5;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;5;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;5;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;5;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;5;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;6;1;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;6;2;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;6;3;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;6;4;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;6;5;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Mangaveli_Ryt;7;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
