site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Manikpur_Mal;1;1;1000;w;1;0;5500;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;1;2;1500;w;1;0;5500;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;1;3;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;1;4;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;1;5;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;2;1;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;2;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;2;3;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;2;4;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;2;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;3;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;3;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;3;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;3;4;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;3;5;1400;g;0;1;3000;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;4;1;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;4;2;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;4;3;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;4;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;4;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;5;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;5;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;5;3;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;5;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;5;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;6;1;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;6;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;6;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;6;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;6;5;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;7;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;7;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;7;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;7;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;7;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;8;1;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;8;2;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;8;3;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;8;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;8;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;9;1;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;9;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;9;3;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;9;4;1900;w;1;0;5500;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Manikpur_Mal;9;5;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
