site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Manoharpur;1;1;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Manoharpur;1;2;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Manoharpur;1;3;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;1;4;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Manoharpur;1;5;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Manoharpur;2;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Manoharpur;2;2;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Manoharpur;2;3;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Manoharpur;2;4;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Manoharpur;2;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Manoharpur;3;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Manoharpur;3;2;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Manoharpur;3;3;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;3;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manoharpur;3;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Manoharpur;4;1;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manoharpur;4;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;4;3;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Manoharpur;4;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;4;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Manoharpur;5;1;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Manoharpur;5;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;5;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Manoharpur;5;4;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Manoharpur;5;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Manoharpur;6;1;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Manoharpur;6;2;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manoharpur;6;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Manoharpur;6;4;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Manoharpur;6;5;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Manoharpur;7;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Manoharpur;7;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;7;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;7;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Manoharpur;7;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Manoharpur;8;1;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
