site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Medhatal;1;1;1200;w;1;0;5500;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Medhatal;1;2;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Medhatal;1;3;1400;g;0;1;3000;13000;1600;14600;basic;NA;NA;NA;NA;NA;NA
Medhatal;1;4;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Medhatal;1;5;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Medhatal;2;1;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Medhatal;2;2;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Medhatal;2;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Medhatal;2;4;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Medhatal;2;5;400;g;0;1;3000;13000;2600;15600;basic;NA;NA;NA;NA;NA;NA
Medhatal;3;1;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Medhatal;3;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Medhatal;3;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Medhatal;3;4;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Medhatal;3;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Medhatal;4;1;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Medhatal;4;2;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Medhatal;4;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Medhatal;4;4;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Medhatal;4;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Medhatal;5;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Medhatal;5;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Medhatal;5;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
