site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Mubala_Mal;1;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;1;2;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;1;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;1;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;1;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;2;1;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;2;2;2900;w;1;0;5500;15000;100;15100;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;2;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;2;4;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;2;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;3;1;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;3;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;3;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;3;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;3;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;4;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;4;2;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;4;3;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;4;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;4;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;5;1;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;5;2;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;5;3;700;g;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;5;4;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;5;5;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;6;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;6;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;6;3;1700;w;1;0;5500;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;6;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;6;5;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;7;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;7;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;7;3;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;7;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Mubala_Mal;7;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
