site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Mulwalasani_Ryt;1;1;3000;w;1;0;5500;15000;0;15000;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;1;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;1;3;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;1;4;200;w;1;0;5500;15000;2800;17800;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;1;5;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;2;1;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;2;2;300;g;0;1;3000;13000;2700;15700;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;2;3;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;2;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;2;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;3;1;2600;w;1;0;5500;15000;400;15400;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;3;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;3;3;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;3;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;3;5;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;4;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Mulwalasani_Ryt;4;2;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
