site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Nakawal;1;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Nakawal;1;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Nakawal;1;3;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Nakawal;1;4;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Nakawal;1;5;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Nakawal;2;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Nakawal;2;2;1000;w;1;0;5500;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Nakawal;2;3;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Nakawal;2;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Nakawal;2;5;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Nakawal;3;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Nakawal;3;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Nakawal;3;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Nakawal;3;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Nakawal;3;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Nakawal;4;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Nakawal;4;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Nakawal;4;3;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Nakawal;4;4;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Nakawal;4;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Nakawal;5;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Nakawal;5;2;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Nakawal;5;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Nakawal;5;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Nakawal;5;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Nakawal;6;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Nakawal;6;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Nakawal;6;3;800;w;1;0;5500;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Nakawal;6;4;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Nakawal;6;5;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Nakawal;7;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Nakawal;7;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Nakawal;7;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Nakawal;7;4;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Nakawal;7;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Nakawal;8;1;500;w;1;0;5500;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Nakawal;8;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Nakawal;8;3;500;w;1;0;5500;15000;2500;17500;basic;NA;NA;NA;NA;NA;NA
Nakawal;8;4;500;w;1;0;5500;15000;2500;17500;basic;NA;NA;NA;NA;NA;NA
Nakawal;8;5;100;w;1;0;5500;15000;2900;17900;basic;NA;NA;NA;NA;NA;NA
Nakawal;9;1;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Nakawal;9;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Nakawal;9;3;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Nakawal;9;4;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Nakawal;9;5;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Nakawal;10;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Nakawal;10;2;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Nakawal;10;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Nakawal;10;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Nakawal;10;5;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
