site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Padariya;1;1;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Padariya;1;2;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Padariya;1;3;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Padariya;1;4;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Padariya;1;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Padariya;2;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Padariya;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Padariya;2;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Padariya;2;4;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Padariya;2;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Padariya;3;1;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Padariya;3;2;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Padariya;3;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Padariya;3;4;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Padariya;3;5;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Padariya;4;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Padariya;4;2;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Padariya;4;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Padariya;4;4;2400;w;1;0;5500;0;600;600;basic;NA;NA;NA;NA;NA;NA
Padariya;4;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Padariya;5;1;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Padariya;5;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Padariya;5;3;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Padariya;5;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Padariya;5;5;200;w;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Padariya;6;1;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Padariya;6;2;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Padariya;6;3;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Padariya;6;4;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Padariya;6;5;300;w;1;0;5500;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Padariya;7;1;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Padariya;7;2;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Padariya;7;3;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Padariya;7;4;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Padariya;7;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Padariya;8;1;500;g;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Padariya;8;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Padariya;8;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Padariya;8;4;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Padariya;8;5;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Padariya;9;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Padariya;9;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
