site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Rata;1;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Rata;1;2;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Rata;1;3;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Rata;1;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Rata;1;5;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Rata;2;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Rata;2;2;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Rata;2;3;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Rata;2;4;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Rata;2;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Rata;3;1;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Rata;3;2;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Rata;3;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Rata;3;4;2600;w;1;0;5500;15000;400;15400;basic;NA;NA;NA;NA;NA;NA
Rata;3;5;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Rata;4;1;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Rata;4;2;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Rata;4;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Rata;4;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Rata;4;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Rata;5;1;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Rata;5;2;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Rata;5;3;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Rata;5;4;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
