site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Saradoli;1;1;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Saradoli;1;2;1400;w;1;0;5500;15000;1600;16600;basic;NA;NA;NA;NA;NA;NA
Saradoli;1;3;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Saradoli;1;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Saradoli;1;5;1500;w;1;0;5500;15000;1500;16500;basic;NA;NA;NA;NA;NA;NA
Saradoli;2;1;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Saradoli;2;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Saradoli;2;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Saradoli;2;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Saradoli;2;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Saradoli;3;1;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Saradoli;3;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Saradoli;3;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Saradoli;3;4;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Saradoli;3;5;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Saradoli;4;1;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Saradoli;4;2;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Saradoli;4;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Saradoli;4;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Saradoli;4;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Saradoli;5;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Saradoli;5;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Saradoli;5;3;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Saradoli;5;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Saradoli;5;5;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
