site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Sarasdoli_Mal;1;1;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;1;2;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;1;3;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;1;4;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;1;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;2;1;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;2;3;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;2;4;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;2;5;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;3;1;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;3;2;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;3;3;1800;w;1;0;5500;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;3;4;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;3;5;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;4;1;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;4;2;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;4;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;4;4;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;4;5;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;5;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;5;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;5;3;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;5;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;5;5;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;6;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;6;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;6;3;800;g;0;1;3000;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;6;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;6;5;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;7;1;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;7;2;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;7;3;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;7;4;2200;w;1;0;5500;0;800;800;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;7;5;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;8;1;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;8;2;700;w;1;0;5500;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;8;3;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;8;4;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;8;5;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;9;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;9;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;9;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Sarasdoli_Mal;9;4;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
