site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Sarhi;1;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Sarhi;1;2;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Sarhi;1;3;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Sarhi;1;4;2800;w;1;0;5500;15000;200;15200;basic;NA;NA;NA;NA;NA;NA
Sarhi;1;5;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Sarhi;2;1;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Sarhi;2;2;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Sarhi;2;3;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Sarhi;2;4;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Sarhi;2;5;100;g;0;1;3000;13000;2900;15900;basic;NA;NA;NA;NA;NA;NA
Sarhi;3;1;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Sarhi;3;2;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Sarhi;3;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Sarhi;3;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Sarhi;3;5;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Sarhi;4;1;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Sarhi;4;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Sarhi;4;3;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Sarhi;4;4;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Sarhi;4;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Sarhi;5;1;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Sarhi;5;2;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Sarhi;5;3;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Sarhi;5;4;1900;g;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Sarhi;5;5;1900;w;1;0;5500;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Sarhi;6;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sarhi;6;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sarhi;6;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sarhi;6;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sarhi;6;5;2100;g;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Sarhi;7;1;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Sarhi;7;2;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sarhi;7;3;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Sarhi;7;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sarhi;7;5;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Sarhi;8;1;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Sarhi;8;2;2600;w;1;0;5500;15000;400;15400;basic;NA;NA;NA;NA;NA;NA
Sarhi;8;3;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Sarhi;8;4;2700;w;1;0;5500;15000;300;15300;basic;NA;NA;NA;NA;NA;NA
Sarhi;8;5;1400;g;0;1;3000;13000;1600;14600;basic;NA;NA;NA;NA;NA;NA
