site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Sautia;1;1;1000;w;1;0;5500;15000;2000;17000;basic;NA;NA;NA;NA;NA;NA
Sautia;1;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Sautia;1;3;200;w;1;0;5500;15000;2800;17800;basic;NA;NA;NA;NA;NA;NA
Sautia;1;4;2000;w;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Sautia;1;5;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Sautia;2;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Sautia;2;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Sautia;2;3;1700;g;0;1;3000;13000;1300;14300;basic;NA;NA;NA;NA;NA;NA
Sautia;2;4;1900;g;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Sautia;2;5;2400;g;0;1;3000;0;600;600;basic;NA;NA;NA;NA;NA;NA
Sautia;3;1;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Sautia;3;2;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Sautia;3;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Sautia;3;4;2700;g;0;1;3000;13000;300;13300;basic;NA;NA;NA;NA;NA;NA
Sautia;3;5;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Sautia;4;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;4;2;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Sautia;4;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Sautia;4;4;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Sautia;4;5;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sautia;5;1;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Sautia;5;2;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Sautia;5;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;5;4;2600;g;0;1;3000;13000;400;13400;basic;NA;NA;NA;NA;NA;NA
Sautia;5;5;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Sautia;6;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;6;2;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Sautia;6;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;6;4;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Sautia;6;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;7;1;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sautia;7;2;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Sautia;7;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sautia;7;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Sautia;7;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Sautia;8;1;800;g;0;1;3000;13000;2200;15200;basic;NA;NA;NA;NA;NA;NA
Sautia;8;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Sautia;8;3;200;g;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Sautia;8;4;500;w;1;0;5500;15000;2500;17500;basic;NA;NA;NA;NA;NA;NA
Sautia;8;5;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Sautia;9;1;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Sautia;9;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;9;3;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Sautia;9;4;2500;w;1;0;5500;15000;500;15500;basic;NA;NA;NA;NA;NA;NA
Sautia;9;5;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;10;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;10;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sautia;10;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sautia;10;4;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Sautia;10;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sautia;11;1;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sautia;11;2;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sautia;11;3;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Sautia;11;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sautia;11;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sautia;12;1;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;12;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Sautia;12;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;12;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Sautia;12;5;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Sautia;13;1;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Sautia;13;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Sautia;13;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Sautia;13;4;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
