site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Surpati2;1;1;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Surpati2;1;2;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Surpati2;1;3;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Surpati2;1;4;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Surpati2;1;5;200;G;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Surpati2;2;1;1000;G;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Surpati2;2;2;600;G;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Surpati2;2;3;700;G;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Surpati2;2;4;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;2;5;600;G;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Surpati2;3;1;2000;W;1;0;5500;15000;1000;16000;basic;NA;NA;NA;NA;NA;NA
Surpati2;3;2;1100;W;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;3;3;1000;W;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Surpati2;3;4;200;W;1;0;5500;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Surpati2;3;5;100;W;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Surpati2;4;1;1900;G;0;1;3000;13000;1100;14100;basic;NA;NA;NA;NA;NA;NA
Surpati2;4;2;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Surpati2;4;3;2600;G;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Surpati2;4;4;2700;G;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Surpati2;4;5;2600;G;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Surpati2;5;1;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;5;2;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;5;3;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;5;4;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;5;5;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;6;1;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Surpati2;6;2;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Surpati2;6;3;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Surpati2;6;4;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Surpati2;6;5;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Surpati2;7;1;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;7;2;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;7;3;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Surpati2;7;4;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Surpati2;7;5;2900;G;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Surpati2;8;1;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Surpati2;8;2;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Surpati2;8;3;1500;G;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Surpati2;8;4;500;G;0;1;3000;13000;2500;15500;basic;NA;NA;NA;NA;NA;NA
Surpati2;8;5;200;G;0;1;3000;13000;2800;15800;basic;NA;NA;NA;NA;NA;NA
Surpati2;9;1;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Surpati2;9;2;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;9;3;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;9;4;900;G;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Surpati2;9;5;700;G;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Surpati2;10;1;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;10;2;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Surpati2;10;3;2500;W;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Surpati2;10;4;2600;G;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Surpati2;10;5;2500;W;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Surpati2;11;1;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Surpati2;11;2;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Surpati2;11;3;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;11;4;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;11;5;1000;G;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Surpati2;12;1;600;G;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Surpati2;12;2;700;G;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Surpati2;12;3;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Surpati2;12;4;100;W;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Surpati2;12;5;100;G;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Surpati2;13;1;2000;G;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Surpati2;13;2;1900;G;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Surpati2;13;3;1600;G;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Surpati2;13;4;2800;G;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Surpati2;13;5;500;G;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Surpati2;14;1;1500;G;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Surpati2;14;2;2500;G;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Surpati2;14;3;1200;G;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Surpati2;14;4;1100;G;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Surpati2;14;5;200;G;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Surpati2;1;6;2500;W;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Surpati2;1;7;2000;G;0;1;3000;13000;1000;14000;com;NA;NA;NA;NA;NA;NA
Surpati2;1;8;2500;G;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Surpati2;1;9;3000;G;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Surpati2;1;10;2600;G;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Surpati2;2;6;2700;G;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Surpati2;2;7;2600;G;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Surpati2;2;8;2500;G;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Surpati2;2;9;3000;W;1;0;5500;15000;0;15000;com;NA;NA;NA;NA;NA;NA
