site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Taktuwa;1;1;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;1;2;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;1;3;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;1;4;800;g;0;1;3000;13000;2200;15200;basic;NA;NA;NA;NA;NA;NA
Taktuwa;1;5;2100;g;0;1;3000;13000;900;13900;basic;NA;NA;NA;NA;NA;NA
Taktuwa;2;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;2;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;2;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;2;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;2;5;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;3;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;3;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;3;3;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Taktuwa;3;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;3;5;2600;w;1;0;5500;0;400;400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;4;1;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Taktuwa;4;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;4;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;4;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;4;5;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;5;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;5;2;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Taktuwa;5;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;5;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Taktuwa;5;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;6;1;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;6;2;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;6;3;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;6;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;6;5;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;7;1;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;7;2;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;7;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;7;4;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;7;5;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Taktuwa;8;1;2500;w;1;0;5500;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;8;2;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;8;3;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;8;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;8;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;9;1;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;9;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Taktuwa;9;3;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;9;4;1200;w;1;0;5500;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Taktuwa;9;5;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;10;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;10;2;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;10;3;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;10;4;1400;w;1;0;5500;0;1600;1600;basic;NA;NA;NA;NA;NA;NA
Taktuwa;10;5;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;11;1;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Taktuwa;11;2;1700;g;0;1;3000;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Taktuwa;11;3;2300;w;1;0;5500;0;700;700;basic;NA;NA;NA;NA;NA;NA
Taktuwa;11;4;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Taktuwa;11;5;2300;w;1;0;5500;0;700;700;basic;NA;NA;NA;NA;NA;NA
Taktuwa;12;1;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;12;2;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;12;3;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;12;4;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Taktuwa;12;5;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;13;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;13;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;13;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;13;4;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Taktuwa;13;5;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Taktuwa;14;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;14;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;14;3;2500;w;1;0;5500;0;500;500;basic;NA;NA;NA;NA;NA;NA
Taktuwa;14;4;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Taktuwa;14;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Taktuwa;1;6;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Taktuwa;1;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Taktuwa;1;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Taktuwa;1;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Taktuwa;1;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Taktuwa;2;6;700;g;0;1;3000;0;2300;2300;com;NA;NA;NA;NA;NA;NA
Taktuwa;2;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Taktuwa;2;8;2900;w;1;0;5500;15000;100;15100;com;NA;NA;NA;NA;NA;NA
Taktuwa;2;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Taktuwa;2;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Taktuwa;3;6;1500;g;0;1;3000;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Taktuwa;3;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Taktuwa;3;8;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Taktuwa;3;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Taktuwa;3;10;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Taktuwa;4;6;900;g;0;1;3000;0;2100;2100;com;NA;NA;NA;NA;NA;NA
Taktuwa;4;7;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Taktuwa;4;8;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Taktuwa;4;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
