site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Thonda;1;1;600;g;0;1;3000;13000;2400;15400;basic;NA;NA;NA;NA;NA;NA
Thonda;1;2;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Thonda;1;3;700;g;0;1;3000;13000;2300;15300;basic;NA;NA;NA;NA;NA;NA
Thonda;1;4;1600;w;1;0;5500;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Thonda;1;5;1600;g;0;1;3000;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Thonda;2;1;800;w;1;0;5500;0;2200;2200;basic;NA;NA;NA;NA;NA;NA
Thonda;2;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Thonda;2;3;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Thonda;2;4;1700;w;1;0;5500;0;1300;1300;basic;NA;NA;NA;NA;NA;NA
Thonda;2;5;1800;w;1;0;5500;15000;1200;16200;basic;NA;NA;NA;NA;NA;NA
Thonda;3;1;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;3;2;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;3;3;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;3;4;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Thonda;3;5;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Thonda;4;1;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;4;2;100;w;1;0;5500;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;4;3;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Thonda;4;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Thonda;4;5;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Thonda;5;1;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Thonda;5;2;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Thonda;5;3;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Thonda;5;4;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Thonda;5;5;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Thonda;6;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Thonda;6;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Thonda;6;3;2800;w;1;0;5500;0;200;200;basic;NA;NA;NA;NA;NA;NA
Thonda;6;4;1900;g;0;1;3000;0;1100;1100;basic;NA;NA;NA;NA;NA;NA
Thonda;6;5;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Thonda;7;1;1300;g;0;1;3000;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Thonda;7;2;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Thonda;7;3;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Thonda;7;4;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Thonda;7;5;1300;w;1;0;5500;0;1700;1700;basic;NA;NA;NA;NA;NA;NA
Thonda;8;1;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Thonda;8;2;1600;w;1;0;5500;13000;1400;14400;basic;NA;NA;NA;NA;NA;NA
Thonda;8;3;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Thonda;8;4;1100;g;0;1;3000;13000;1900;14900;basic;NA;NA;NA;NA;NA;NA
Thonda;8;5;1300;w;1;0;5500;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Thonda;9;1;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Thonda;9;2;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Thonda;9;3;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Thonda;9;4;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Thonda;9;5;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Thonda;10;1;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Thonda;10;2;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Thonda;10;3;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Thonda;10;4;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Thonda;10;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;11;1;1100;g;0;1;3000;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Thonda;11;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Thonda;11;3;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Thonda;11;4;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Thonda;11;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Thonda;12;1;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Thonda;12;2;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Thonda;12;3;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Thonda;12;4;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Thonda;12;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Thonda;13;1;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Thonda;13;2;300;g;0;1;3000;0;2700;2700;basic;NA;NA;NA;NA;NA;NA
Thonda;13;3;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Thonda;13;4;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Thonda;13;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Thonda;14;1;2300;w;1;0;5500;0;700;700;basic;NA;NA;NA;NA;NA;NA
Thonda;14;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Thonda;14;3;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Thonda;14;4;1800;g;0;1;3000;0;1200;1200;basic;NA;NA;NA;NA;NA;NA
Thonda;14;5;2900;g;0;1;3000;0;100;100;basic;NA;NA;NA;NA;NA;NA
Thonda;1;6;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Thonda;1;7;2900;w;1;0;5500;15000;100;15100;com;NA;NA;NA;NA;NA;NA
Thonda;1;8;2000;w;1;0;5500;15000;1000;16000;com;NA;NA;NA;NA;NA;NA
Thonda;1;9;2500;w;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Thonda;1;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;2;6;1200;w;1;0;5500;0;1800;1800;com;NA;NA;NA;NA;NA;NA
Thonda;2;7;2500;w;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Thonda;2;8;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Thonda;2;9;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;2;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;3;6;1600;g;0;1;3000;0;1400;1400;com;NA;NA;NA;NA;NA;NA
Thonda;3;7;2700;w;1;0;5500;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;3;8;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;3;9;2800;g;0;1;3000;13000;200;13200;com;NA;NA;NA;NA;NA;NA
Thonda;3;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;4;6;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Thonda;4;7;1500;g;0;1;3000;0;1500;1500;com;NA;NA;NA;NA;NA;NA
Thonda;4;8;2500;w;1;0;5500;15000;500;15500;com;NA;NA;NA;NA;NA;NA
Thonda;4;9;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Thonda;4;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;5;6;1000;w;1;0;5500;0;2000;2000;com;NA;NA;NA;NA;NA;NA
Thonda;5;7;1000;w;1;0;5500;0;2000;2000;com;NA;NA;NA;NA;NA;NA
Thonda;5;8;1000;g;0;1;3000;13000;2000;15000;com;NA;NA;NA;NA;NA;NA
Thonda;5;9;2200;w;1;0;5500;15000;800;15800;com;NA;NA;NA;NA;NA;NA
Thonda;5;10;1200;g;0;1;3000;13000;1800;14800;com;NA;NA;NA;NA;NA;NA
Thonda;6;6;600;g;0;1;3000;0;2400;2400;com;NA;NA;NA;NA;NA;NA
Thonda;6;7;700;w;1;0;5500;0;2300;2300;com;NA;NA;NA;NA;NA;NA
Thonda;6;8;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Thonda;6;9;2600;g;0;1;3000;0;400;400;com;NA;NA;NA;NA;NA;NA
Thonda;6;10;2600;g;0;1;3000;13000;400;13400;com;NA;NA;NA;NA;NA;NA
Thonda;7;6;1100;g;0;1;3000;0;1900;1900;com;NA;NA;NA;NA;NA;NA
Thonda;7;7;2900;w;1;0;5500;0;100;100;com;NA;NA;NA;NA;NA;NA
Thonda;7;8;2900;g;0;1;3000;0;100;100;com;NA;NA;NA;NA;NA;NA
Thonda;7;9;1600;w;1;0;5500;0;1400;1400;com;NA;NA;NA;NA;NA;NA
Thonda;7;10;2700;g;0;1;3000;13000;300;13300;com;NA;NA;NA;NA;NA;NA
Thonda;8;6;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Thonda;8;7;1500;g;0;1;3000;13000;1500;14500;com;NA;NA;NA;NA;NA;NA
Thonda;8;8;2000;w;1;0;5500;15000;1000;16000;com;NA;NA;NA;NA;NA;NA
Thonda;8;9;2100;w;1;0;5500;15000;900;15900;com;NA;NA;NA;NA;NA;NA
Thonda;8;10;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Thonda;9;6;2700;w;1;0;5500;0;300;300;com;NA;NA;NA;NA;NA;NA
Thonda;9;7;2900;g;0;1;3000;13000;100;13100;com;NA;NA;NA;NA;NA;NA
Thonda;9;8;2500;g;0;1;3000;13000;500;13500;com;NA;NA;NA;NA;NA;NA
Thonda;9;9;2800;w;1;0;5500;15000;200;15200;com;NA;NA;NA;NA;NA;NA
Thonda;9;10;3000;g;0;1;3000;13000;0;13000;com;NA;NA;NA;NA;NA;NA
Thonda;10;6;2500;g;0;1;3000;0;500;500;com;NA;NA;NA;NA;NA;NA
Thonda;10;7;1100;g;0;1;3000;0;1900;1900;com;NA;NA;NA;NA;NA;NA
Thonda;10;8;1600;g;0;1;3000;13000;1400;14400;com;NA;NA;NA;NA;NA;NA
Thonda;10;9;2000;w;1;0;5500;15000;1000;16000;com;NA;NA;NA;NA;NA;NA
