site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Tilari;1;1;1300;g;0;1;3000;13000;1700;14700;basic;NA;NA;NA;NA;NA;NA
Tilari;1;2;2200;g;0;1;3000;13000;800;13800;basic;NA;NA;NA;NA;NA;NA
Tilari;1;3;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Tilari;1;4;2000;w;1;0;5500;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Tilari;1;5;1800;g;0;1;3000;13000;1200;14200;basic;NA;NA;NA;NA;NA;NA
Tilari;2;1;3000;w;1;0;5500;0;0;0;basic;NA;NA;NA;NA;NA;NA
Tilari;2;2;2500;w;1;0;5500;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Tilari;2;3;2500;g;0;1;3000;13000;500;13500;basic;NA;NA;NA;NA;NA;NA
Tilari;2;4;1600;w;1;0;5500;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Tilari;2;5;2900;w;1;0;5500;0;100;100;basic;NA;NA;NA;NA;NA;NA
Tilari;3;1;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Tilari;3;2;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Tilari;3;3;2100;w;1;0;5500;0;900;900;basic;NA;NA;NA;NA;NA;NA
Tilari;3;4;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Tilari;3;5;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Tilari;4;1;1200;g;0;1;3000;0;1800;1800;basic;NA;NA;NA;NA;NA;NA
Tilari;4;2;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Tilari;4;3;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Tilari;4;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Tilari;4;5;100;g;0;1;3000;0;2900;2900;basic;NA;NA;NA;NA;NA;NA
Tilari;5;1;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
Tilari;5;2;1600;g;0;1;3000;0;1400;1400;basic;NA;NA;NA;NA;NA;NA
Tilari;5;3;2800;g;0;1;3000;0;200;200;basic;NA;NA;NA;NA;NA;NA
Tilari;5;4;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Tilari;5;5;700;g;0;1;3000;0;2300;2300;basic;NA;NA;NA;NA;NA;NA
