site;player_ID;round;Investment;crop_choice;wheat;gram;water_used;earning_dam;amount_not_inv;total_earning;treat;NREGA_used;DEV_Pro_yes;Table_path;Table_next;Threshold_path;excluded
Umariya_FV;1;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;1;2;1500;g;0;1;3000;13000;1500;14500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;1;3;1200;g;0;1;3000;13000;1800;14800;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;1;4;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;1;5;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;2;1;2900;g;0;1;3000;13000;100;13100;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;2;2;1000;g;0;1;3000;13000;2000;15000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;2;3;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;2;4;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;2;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;3;1;2000;g;0;1;3000;13000;1000;14000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;3;2;900;g;0;1;3000;0;2100;2100;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;3;3;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;3;4;2000;g;0;1;3000;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;3;5;1000;g;0;1;3000;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;4;1;600;w;1;0;5500;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;4;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;4;3;1100;w;1;0;5500;0;1900;1900;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;4;4;600;g;0;1;3000;0;2400;2400;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;4;5;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;5;1;3000;g;0;1;3000;0;0;0;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;5;2;1500;w;1;0;5500;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;5;3;2000;w;1;0;5500;0;1000;1000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;5;4;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;5;5;1500;g;0;1;3000;0;1500;1500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;6;1;2100;g;0;1;3000;0;900;900;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;6;2;2200;g;0;1;3000;0;800;800;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;6;3;400;g;0;1;3000;0;2600;2600;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;6;4;2700;g;0;1;3000;0;300;300;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;6;5;2600;g;0;1;3000;0;400;400;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;7;1;500;g;0;1;3000;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;7;2;2500;g;0;1;3000;0;500;500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;7;3;1000;w;1;0;5500;0;2000;2000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;7;4;500;w;1;0;5500;0;2500;2500;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;7;5;200;g;0;1;3000;0;2800;2800;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;8;1;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;8;2;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;8;3;2800;g;0;1;3000;13000;200;13200;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;8;4;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
Umariya_FV;8;5;3000;g;0;1;3000;13000;0;13000;basic;NA;NA;NA;NA;NA;NA
